"","ID","gene"
"320","MA0461.2","Atoh1"
"321","MA0462.1","BATF::JUN"
"322","MA0462.2","BATF::JUN"
"323","MA0463.1","Bcl6"
"324","MA0463.2","BCL6"
"325","MA0464.1","Bhlhe40"
"326","MA0464.2","BHLHE40"
"327","MA0465.1","CDX2"
"328","MA0465.2","CDX2"
"329","MA0466.1","CEBPB"
"330","MA0466.2","CEBPB"
"331","MA0466.3","CEBPB"
"332","MA0467.1","Crx"
"333","MA0467.2","Crx"
"334","MA0468.1","DUX4"
"335","MA0469.1","E2F3"
"336","MA0469.2","E2F3"
"337","MA0469.3","E2F3"
"338","MA0470.1","E2F4"
"339","MA0470.2","E2F4"
"340","MA0471.1","E2F6"
"341","MA0471.2","E2F6"
"342","MA0472.1","Egr2"
"343","MA0472.2","EGR2"
"344","MA0473.1","ELF1"
"345","MA0473.2","ELF1"
"346","MA0473.3","ELF1"
"347","MA0474.1","Erg"
"348","MA0474.2","ERG"
"349","MA0474.3","Erg"
"350","MA0475.1","FLI1"
"351","MA0475.2","FLI1"
"352","MA0476.1","FOS"
"353","MA0477.1","FOSL1"
"354","MA0477.2","FOSL1"
"355","MA0478.1","FOSL2"
"356","MA0479.1","FOXH1"
"357","MA0480.1","Foxo1"
"358","MA0480.2","Foxo1"
"359","MA0481.1","FOXP1"
"360","MA0481.2","FOXP1"
"361","MA0481.3","FOXP1"
"362","MA0482.1","Gata4"
"363","MA0482.2","GATA4"
"364","MA0483.1","Gfi1B"
"365","MA0484.1","HNF4G"
"366","MA0484.2","HNF4G"
"367","MA0485.1","Hoxc9"
"368","MA0485.2","HOXC9"
"369","MA0486.1","HSF1"
"370","MA0486.2","HSF1"
"371","MA0488.1","JUN"
"372","MA0489.1","JUN"
"373","MA0489.2","Jun"
"374","MA0490.1","JUNB"
"375","MA0490.2","JUNB"
"376","MA0491.1","JUND"
"377","MA0491.2","JUND"
"378","MA0492.1","JUND"
"379","MA0493.1","Klf1"
"380","MA0493.2","KLF1"
"381","MA0494.1","Nr1h3::Rxra"
"382","MA0495.1","MAFF"
"383","MA0495.2","MAFF"
"384","MA0495.3","MAFF"
"385","MA0496.1","MAFK"
"386","MA0496.2","MAFK"
"387","MA0496.3","MAFK"
"388","MA0497.1","MEF2C"
"389","MA0498.1","Meis1"
"390","MA0498.2","MEIS1"
"391","MA0499.1","Myod1"
"392","MA0499.2","MYOD1"
"393","MA0500.1","Myog"
"394","MA0500.2","MYOG"
"395","MA0501.1","MAF::NFE2"
"396","MA0502.1","NFYB"
"397","MA0502.2","NFYB"
"398","MA0504.1","NR2C2"
"399","MA0505.1","Nr5a2"
"400","MA0505.2","Nr5A2"
"401","MA0506.1","NRF1"
"402","MA0506.2","Nrf1"
"403","MA0507.1","POU2F2"
"404","MA0507.2","POU2F2"
"405","MA0508.1","PRDM1"
"406","MA0508.2","PRDM1"
"407","MA0508.3","PRDM1"
"408","MA0509.1","Rfx1"
"409","MA0509.2","RFX1"
"410","MA0509.3","RFX1"
"411","MA0510.1","RFX5"
"412","MA0510.2","RFX5"
"413","MA0511.1","RUNX2"
"414","MA0511.2","RUNX2"
"415","MA0512.1","Rxra"
"416","MA0512.2","Rxra"
"417","MA0514.1","Sox3"
"418","MA0514.2","Sox3"
"419","MA0515.1","Sox6"
"420","MA0516.1","SP2"
"421","MA0516.2","SP2"
"422","MA0516.3","SP2"
"423","MA0517.1","STAT1::STAT2"
"424","MA0518.1","Stat4"
"425","MA0519.1","Stat5a::Stat5b"
"426","MA0520.1","Stat6"
"427","MA0521.1","Tcf12"
"428","MA0521.2","Tcf12"
"429","MA0522.1","Tcf3"
"430","MA0522.2","TCF3"
"431","MA0522.3","TCF3"
"432","MA0523.1","TCF7L2"
"433","MA0524.1","TFAP2C"
"434","MA0524.2","TFAP2C"
"435","MA0525.1","TP63"
"436","MA0525.2","TP63"
"437","MA0526.1","USF2"
"438","MA0526.2","USF2"
"439","MA0526.3","USF2"
"440","MA0526.4","USF2"
"441","MA0527.1","ZBTB33"
"442","MA0528.1","ZNF263"
"443","MA0528.2","ZNF263"
"444","MA0591.1","Bach1::Mafk"
"445","MA0592.1","ESRRA"
"446","MA0592.2","Esrra"
"447","MA0592.3","ESRRA"
"448","MA0593.1","FOXP2"
"449","MA0594.1","Hoxa9"
"450","MA0594.2","HOXA9"
"451","MA0595.1","SREBF1"
"452","MA0596.1","SREBF2"
"453","MA0597.1","THAP1"
"454","MA0597.2","THAP1"
"455","MA0598.1","EHF"
"456","MA0598.2","EHF"
"457","MA0598.3","EHF"
"458","MA0599.1","KLF5"
"459","MA0600.1","RFX2"
"460","MA0600.2","RFX2"
"461","MA0601.1","Arid3b"
"462","MA0602.1","Arid5a"
"463","MA0603.1","Arntl"
"464","MA0604.1","Atf1"
"465","MA0605.1","Atf3"
"466","MA0605.2","ATF3"
"467","MA0606.1","NFAT5"
"468","MA0606.2","Nfat5"
"469","MA0607.1","Bhlha15"
"470","MA0607.2","BHLHA15"
"471","MA0608.1","Creb3l2"
"472","MA0609.1","Crem"
"473","MA0609.2","CREM"
"474","MA0610.1","DMRT3"
"475","MA0611.1","Dux"
"476","MA0611.2","Dux"
"477","MA0612.1","EMX1"
"478","MA0612.2","EMX1"
"479","MA0613.1","FOXG1"
"480","MA0614.1","Foxj2"
"481","MA0615.1","Gmeb1"
"482","MA0616.1","Hes2"
"483","MA0616.2","HES2"
"484","MA0618.1","LBX1"
"485","MA0619.1","LIN54"
"486","MA0620.1","Mitf"
"487","MA0620.2","MITF"
"488","MA0620.3","MITF"
"489","MA0621.1","mix-a"
"490","MA0622.1","Mlxip"
"491","MA0623.1","Neurog1"
"492","MA0623.2","NEUROG1"
"493","MA0624.1","NFATC1"
"494","MA0624.2","Nfatc1"
"495","MA0625.1","NFATC3"
"496","MA0625.2","NFATC3"
"497","MA0626.1","Npas2"
"498","MA0627.1","Pou2f3"
"499","MA0627.2","POU2F3"
"500","MA0628.1","POU6F1"
"501","MA0629.1","Rhox11"
"502","MA0630.1","SHOX"
"503","MA0631.1","Six3"
"504","MA0632.1","Tcfl5"
"505","MA0632.2","TCFL5"
"506","MA0633.1","Twist2"
"507","MA0633.2","Twist2"
"508","MA0634.1","ALX3"
"509","MA0635.1","BARHL2"
"510","MA0636.1","BHLHE41"
"511","MA0638.1","CREB3"
"512","MA0639.1","DBP"
"513","MA0640.1","ELF3"
"514","MA0640.2","ELF3"
"515","MA0641.1","ELF4"
"516","MA0642.1","EN2"
"517","MA0642.2","EN2"
"518","MA0643.1","Esrrg"
"519","MA0644.1","ESX1"
"520","MA0644.2","ESX1"
"521","MA0645.1","ETV6"
"522","MA0646.1","GCM1"
"523","MA0647.1","GRHL1"
"524","MA0648.1","GSC"
"525","MA0649.1","HEY2"
"526","MA0650.1","HOXA13"
"527","MA0650.2","HOXA13"
"528","MA0650.3","Hoxa13"
"529","MA0651.1","HOXC11"
"530","MA0651.2","HOXC11"
"531","MA0652.1","IRF8"
"532","MA0653.1","IRF9"
"533","MA0654.1","ISX"
"534","MA0655.1","JDP2"
"535","MA0656.1","JDP2"
"536","MA0657.1","KLF13"
"537","MA0658.1","LHX6"
"538","MA0659.1","MAFG"
"539","MA0659.2","MAFG"
"540","MA0659.3","Mafg"
"541","MA0660.1","MEF2B"
"542","MA0661.1","MEOX1"
"543","MA0662.1","MIXL1"
"544","MA0663.1","MLX"
"545","MA0664.1","MLXIPL"
"546","MA0665.1","MSC"
"547","MA0666.1","MSX1"
"548","MA0666.2","MSX1"
"549","MA0667.1","MYF6"
"550","MA0668.1","NEUROD2"
"551","MA0668.2","Neurod2"
"552","MA0669.1","NEUROG2"
"553","MA0670.1","NFIA"
"554","MA0671.1","NFIX"
"555","MA0672.1","NKX2-3"
"556","MA0673.1","NKX2-8"
"557","MA0674.1","NKX6-1"
"558","MA0675.1","NKX6-2"
"559","MA0676.1","Nr2e1"
"560","MA0677.1","Nr2f6"
"561","MA0678.1","OLIG2"
"562","MA0679.1","ONECUT1"
"563","MA0679.2","ONECUT1"
"564","MA0680.1","PAX7"
"565","MA0680.2","Pax7"
"566","MA0681.1","Phox2b"
"567","MA0681.2","PHOX2B"
"568","MA0682.1","Pitx1"
"569","MA0682.2","PITX1"
"570","MA0683.1","POU4F2"
"571","MA0684.1","RUNX3"
"572","MA0684.2","RUNX3"
"573","MA0685.1","SP4"
"574","MA0685.2","SP4"
"575","MA0686.1","SPDEF"
"576","MA0687.1","SPIC"
"577","MA0688.1","TBX2"
"578","MA0689.1","TBX20"
"579","MA0690.1","TBX21"
"580","MA0690.2","TBX21"
"581","MA0691.1","TFAP4"
"582","MA0692.1","TFEB"
"583","MA0693.1","Vdr"
"584","MA0693.2","VDR"
"585","MA0693.3","Vdr"
"586","MA0694.1","ZBTB7B"
"587","MA0695.1","ZBTB7C"
"588","MA0696.1","ZIC1"
"589","MA0697.1","ZIC3"
"590","MA0697.2","Zic3"
"591","MA0698.1","ZBTB18"
"592","MA0699.1","LBX2"
"593","MA0700.1","LHX2"
"594","MA0700.2","LHX2"
"595","MA0701.1","LHX9"
"596","MA0701.2","LHX9"
"597","MA0702.1","LMX1A"
"598","MA0702.2","LMX1A"
"599","MA0703.1","LMX1B"
"600","MA0703.2","LMX1B"
"601","MA0704.1","Lhx4"
"602","MA0705.1","Lhx8"
"603","MA0706.1","MEOX2"
"604","MA0707.1","MNX1"
"605","MA0707.2","MNX1"
"606","MA0708.1","MSX2"
"607","MA0708.2","MSX2"
"608","MA0709.1","Msx3"
"609","MA0710.1","NOTO"
"610","MA0711.1","OTX1"
"611","MA0712.1","OTX2"
"612","MA0712.2","OTX2"
"613","MA0713.1","PHOX2A"
"614","MA0714.1","PITX3"
"615","MA0715.1","PROP1"
"616","MA0716.1","PRRX1"
"617","MA0717.1","RAX2"
"618","MA0718.1","RAX"
"619","MA0719.1","RHOXF1"
"620","MA0720.1","Shox2"
"621","MA0721.1","UNCX"
"622","MA0722.1","VAX1"
"623","MA0723.1","VAX2"
"624","MA0723.2","VAX2"
"625","MA0724.1","VENTX"
"626","MA0725.1","VSX1"
"627","MA0726.1","VSX2"
"628","MA0727.1","NR3C2"
"629","MA0728.1","Nr2F6"
"630","MA0729.1","RARA"
"631","MA0730.1","RARA"
"632","MA0731.1","BCL6B"
"633","MA0732.1","EGR3"
"634","MA0733.1","EGR4"
"635","MA0734.1","GLI2"
"636","MA0734.2","GLI2"
"637","MA0734.3","Gli2"
"638","MA0735.1","GLIS1"
"639","MA0736.1","GLIS2"
"640","MA0737.1","GLIS3"
"641","MA0738.1","HIC2"
"642","MA0739.1","Hic1"
"643","MA0740.1","KLF14"
"644","MA0740.2","KLF14"
